Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
oriento,"{Ｂ}東, 東方, 東部, ><〜; （フリーメーソンのロッジで長が座る）東側席",东，东方，东部；（共济会会所中会长所在的）东侧席,"동쪽, 동방, 동부; (프리메이슨 롯지에서 의장이 앉는) 동쪽 자리",B,6.0,2.0,5.67,5.83
originalo,"{Ｂ}（模写・翻訳に対して）原作, 原本, 原画",原作，原本；原画,"원작, 원본; 원화",B,8.0,2.0,5.67,6.83
origino,"{Ｂ}起源, 発端, 由来; 生まれ, 素性, 血統; 【数】原点",起源；出身，来历；原点,"기원, 유래; 출신, 내력; (수학) 원점",B,7.0,2.0,5.67,6.33
orkestro,"{Ｂ}【楽】オーケストラ, 管弦楽団; （劇場の）オーケストラボックス",（管弦）乐队，管弦乐团；（剧场）乐池，乐队席,"오케스트라, 관현악단; (극장) 오케스트라 피트",C,9.0,3.0,8.79,8.9
ornami,"{Ｂ}［他］飾る, 装飾する",装饰，修饰，点缀,장식하다,B,7.0,2.0,5.67,6.33
oro,"{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの",金，黄金；（化）金；（转）财富；贵重之物,"금, 황금, 금화; (화학) 금; (비유) 부, 금전; 금처럼 귀중한 것",B,6.0,2.0,5.67,5.83
ortografio,"{Ｂ}【Ｇ】正書法, 正字法; （個々の）綴り（つづり）",正字法；写法，拼法,"철자법, 정서법; 개별 철자, 철자 표기",C,9.0,3.0,8.79,8.9
oscedi,{Ｂ}［自］あくびをする,打呵欠,하품하다,C,8.0,3.0,8.79,8.4
osto,{Ｂ}骨; 遺骨; 【料】肉付きの骨,骨，骨头；遗骨；（食）带肉骨头,뼈; 유골; (요리) 고깃붙은 뼈,B,6.0,2.0,5.67,5.83
ovo,"{Ｂ}卵（たまご）, 鶏卵; 【生】卵（らん）, >>frajo",卵，蛋,"알, 달걀; (생물) 난",B,5.0,2.0,5.67,5.33
pacienca,"{Ｂ}我慢強い, 辛抱強い; 根気のよい",有耐心的，能忍耐的,"참을성 있는, 인내심 강한",B,6.0,2.0,5.67,5.83
paco,"{Ｂ}平和; 平安, 治安; 和解; 平穏, 安らぎ",和平；平安，安宁；和解,"평화; 평안, 안녕; 화해",A,3.0,1.0,2.54,2.77
pafi,"{Ｂ}［他］撃つ, 射る, 射撃する, 射出する, 発射する",射，发射,총이나 화살 따위를 쏘다,B,6.0,2.0,5.67,5.83
pagi,"{Ｂ}［他］払う, 支払う; 《転》仕返しする; 《転》償いをする",付钱，支付；偿还；（转）付出代价，受报,돈을 지불하다; 갚다; (비유) 대가를 치르다,A,3.0,1.0,2.54,2.77
pako,"{Ｂ}包み, 荷物",包裹,"짐, 꾸러미",B,5.0,2.0,5.67,5.33
pala,"{Ｂ}（顔が）青ざめた, 青白い, 血の気のない; 色の薄い, 光の弱い; 《転》生気のない",苍白，灰白，暗淡；缺乏生气，苍白无力,"창백한; (색·빛이) 엷은, 희미한; (비유) 생기 없고 힘없는",B,7.0,2.0,5.67,6.33
palaco,"{Ｂ}宮殿, 御殿, 大邸宅; 重要官庁の大建築",宫殿，王宫；豪华大宅或重要行政机关的大厦,"궁전, 대저택; 중요 행정기관의 웅장한 건물",C,8.0,3.0,8.79,8.4
palpebro,{Ｂ}まぶた; 【解】眼瞼（がんけん）; 《転》目,眼皮，眼睑,"눈꺼풀, 안검",C,9.0,3.0,8.79,8.9
palpi,"{Ｂ}［他］手探りする, 触れてみる; 撫でる, さわる; 【医】触診する",摸，触摸；抚摸；（医）触诊,"손으로 더듬어 찾다, 만져 보다; 쓰다듬다; (의학) 촉진하다",C,9.0,3.0,8.79,8.9
palto,"{Ｂ}【服】オーバー, 外套（がいとう）, 防寒コート, >>〜",外套，外衣，大衣,"겨울용 외투, 코트",C,9.0,3.0,8.79,8.9
paneo,{Ｂ}【機】（故障による）停止; 【海】（縮帆して）停船; 【情】クラッシュ,故障停机，停摆；（海）缩帆停船；（计）崩溃，死机,고장으로 인한 정지; (해양) 돛을 줄이고 정선하는 일; (컴퓨터) 크래시,C,9.0,3.0,8.79,8.9
pano,"{Ｂ}【料】パン, 食パン; 《転》糧（かて）, 食糧",面包；生计,"빵; (비유) 생계, 양식",A,4.0,1.0,2.54,3.27
pantalono,"{Ｂ}【服】ズボン, スラックス, パンツ",裤子，长裤,긴 바지,B,6.0,2.0,5.67,5.83
pantoflo,"{Ｂ}スリッパ, 室内ばき, >>babuŝo",拖鞋,실내용 슬리퍼,C,9.0,3.0,8.79,8.9
papago,{Ｂ}【鳥】オウム（鸚鵡）; 《転》（他人の言葉を）受け売りする人,鹦鹉；（转）学舌者,앵무새; (비유) 남의 말을 되풀이하는 사람,C,9.0,3.0,8.79,8.9
papero,"{Ｂ}紙, 用紙; 書類, 文書",纸，纸张，用纸；文件，文书,"종이, 용지; 서류, 문서",A,4.0,1.0,2.54,3.27
papilio,"{Ｂ}【虫】チョウ（蝶）, >>〜",蝴蝶,나비,C,9.0,3.0,8.79,8.9
papo,"{Ｂ}【キ】教皇, ローマ法王",罗马教皇,"교황, 로마 교황",C,9.0,3.0,8.79,8.9
paradizo,"{Ｂ}【宗】天国, >>Edeno, >>sukavato; 《転》極楽, 楽園",乐园，天堂，天国,"천국, 낙원",C,9.0,3.0,8.79,8.9
pardoni,"{Ｂ}［他］ゆるす, 容赦する, 勘弁する, 大目に見る",饶恕，原谅,"용서하다, 관대히 봐주다",A,4.0,1.0,2.54,3.27
parenco,"{Ｂ}親類, 親族, 親戚（しんせき）（個人）",亲属，亲戚,"친척, 혈연 관계에 있는 사람",B,6.0,2.0,5.67,5.83
parfumo,"{Ｂ}香水, 香料, >>aromaĵo; 《転》芳香",香水；香料；香味，香气,"향수; 향기, 향내",C,8.0,3.0,8.79,8.4
parko,"{Ｂ}公園; 大庭園; 狩猟園; （軍・工業）集積所, 置き場; 【車】駐車場",公园，大庭园，狩猎园；（军工）集积场，堆放场；停车场,"공원, 큰 정원; 사냥터; (군사·공업) 집적지, 적치장; 주차장, 주차 구역",B,8.0,2.0,5.67,6.83
parlamento,"{Ｂ}議会, 国会; >>Dieto",议会，国会,"국회, 의회",C,9.0,3.0,8.79,8.9
paro,"{Ｂ}一対（いっつい）, 二つ一組のもの, 二人組, ペア; つがい, カップル",一双，一对,"한 쌍, 두 개가 짝을 이룬 것",A,6.0,1.0,2.54,4.27
paroli,"{Ｂ}［自・他］話す, しゃべる; ［自］話しをする; 表現する, 物語る; せりふを言う",说话，交谈，演讲；表达，叙述,"말하다, 이야기하다; 대화하다; 표현하다, 나타내다; 대사를 하다",A,2.0,1.0,2.54,2.27
partio,"{Ｂ}【政】党, 政党; 陣営, 党派; （訴訟・契約の）当事者; 【遊】勝負, 競技",政党；阵营，派别；（诉讼/合同）当事方；（游）对局，胜负,"정당; 진영, 파벌; (법률·계약) 당사자; (게임) 대국, 한 판",C,7.0,3.0,8.79,7.9
parto,"{Ｂ}部分, 一部; 分け前, 分担; 【楽】声部, パート",部分，一部分；分担，份额；（乐）声部,"부분; 몫, 분담; (음악) 성부",A,3.0,1.0,2.54,2.77
pasaĝero,"{Ｂ}乗客, 旅客",乘客，旅客,승객,C,9.0,3.0,8.79,8.9
pasero,{Ｂ}【鳥】スズメ（雀）（属）,麻雀（雀类小鸟）,참새,C,9.0,3.0,8.79,8.9
pasi,"{Ｂ}［自］通る, 通過する; （時が）たつ, 経過する; 過ぎ去る, 消え去る",走过，通过，度过，消失,"지나가다, 통과하다; (시간이) 흐르다; 사라지다",A,3.0,1.0,2.54,2.77
pasio,"{Ｂ}情熱, 激情, 熱中; 激しい恋情, 情欲",热情，（强烈的）爱情，情欲,"열정, 격정; 강한 연정, 정욕",C,8.0,3.0,8.79,8.4
pasporto,"{Ｂ}旅券, パスポート",护照,여권,C,7.0,3.0,8.79,7.9
pasto,"{Ｂ}【料】ペースト, ねり粉, 生地; ペースト状のもの",糊状物，膏状物；（烹饪）面糊，面团,"페이스트, 반죽; 풀처럼 된 물질",B,6.0,2.0,5.67,5.83
pastro,"{Ｂ}【宗】聖職者, 僧; 【キ】司祭（カトリック）, 牧師（プロテスタント）",圣职者，僧侣；（基督教）神父，牧师,"성직자, 승려; (기독교) 사제, 목사",C,7.0,3.0,8.79,7.9
pato,"{Ｂ}【料】フライパン / 【遊】（チェスの）ステールメイト, 手詰まり",平底锅，煎锅；（棋类）逼和，和棋僵局,"프라이팬; (체스·장기) 스테일메이트, 교착 상태",C,8.0,3.0,8.79,8.4
patro,"{Ｂ}父, 父親; 《転》創始者, 開祖",父亲；（转）创始者，鼻祖,"아버지; (비유) 창시자, 시조",A,2.0,1.0,2.54,2.27
patrono,"{Ｂ}後援者, （芸術家の）保護者, パトロン, >>sponsoro; 【宗】守護神・守護聖人",保护者，庇护者；赞助人；守护神或主保圣人,"후원자, (예술가의) 보호자; 수호신·수호성인",C,8.0,3.0,8.79,8.4
paĝo,"{Ｂ}【印】ページ, 紙面, 誌面; 《転》（歴史上の）事件, 時期, （作品の）一節",页，页面；（转）历史上的一页，篇章,"페이지, 지면; (비유) 역사상의 한 페이지, 작품의 한 대목",A,5.0,1.0,2.54,3.77
paŝi,"{Ｂ}［自］歩く, 歩を運ぶ",举步，迈步；[~o]脚步，步骤,"걷다, 걸음을 옮기다",B,4.0,2.0,5.67,4.83
paŝti,"{Ｂ}［他］牧場へ連れて行く, 放牧する; 【聖】救い導く",放牧；（宗）牧养，引导得救,"가축을 들판에 풀어 기르다, 방목하다; (성서) 구원으로 이끌다",C,8.0,3.0,8.79,8.4
peco,"{Ｂ}一片, 一切れ, 一つ; 破片, 断片; （機械などの）部品; （全体の中の）一部分, 一品; （芸術）作品",片，块；一件；碎片；部件；（艺）作品,"한 조각, 한 개, 한 부분; 파편, 단편; 부품; 한 품목; (예술) 작품",A,3.0,1.0,2.54,2.77
pejzaĝo,"{Ｂ}風景, 景色, 眺め; 【美】風景画; 景観",风景，景色，景观；风景画,"경치, 풍경, 조망; (미술) 풍경화; 경관",B,8.0,2.0,5.67,6.83
peki,"{Ｂ}［自］（宗教的・道徳的に）罪を犯す, あやまちを犯す; （規則・習慣に）反する",犯（宗教、道德上的）罪；犯错；违背（规则、习惯）,종교적·도덕적 죄를 짓다; 잘못하다; (규칙·관습을) 어기다,C,7.0,3.0,8.79,7.9
peli,"{Ｂ}［他］追う, 追いたてる; 追いかける; （状態に）駆り立てる, 追いやる; 【機】駆動する",驱赶，赶走；迫使；（机）驱动,"몰아내다, 쫓다; (사람을 어떤 상태로) 몰아가다; (기계) 구동하다",B,6.0,2.0,5.67,5.83
pelto,"{Ｂ}【服】（仕上げた）毛皮; 毛皮の服, ファー",毛皮，皮子,"모피, 모피옷",C,8.0,3.0,8.79,8.4
pendi,{Ｂ}［自］掛っている; ぶらさがっている; 宙に浮いている,悬挂，下垂；悬空,"걸려 있다, 매달려 있다; 공중에 떠 있다",A,5.0,1.0,2.54,3.77
penetri,"{Ｂ}［自］入り込む, 侵入する, 貫く; ［他］浸透する, しみ込む; 見抜く, 察する",进入，穿入，深入，看透,"속으로 깊이 들어가다, 침투하다; 꿰뚫어 보다, 간파하다",B,8.0,2.0,5.67,6.83
peni,"{Ｂ}［自］努める, 努力する, 苦労する, 骨を折る, >>〜, >>strebi",努力，费力,"애를 쓰다, 힘써 노력하다",B,4.0,2.0,5.67,4.83
peniko,"{Ｂ}絵筆, 筆, はけ; =kvasto; =grapolo",画笔，刷子，小毛刷,"붓, 작은 솔",C,8.0,3.0,8.79,8.4
pensi,"{Ｂ}［自］思う, 考える",思考，考虑；认为，觉得,"생각하다, 숙고하다",A,3.0,1.0,2.54,2.77
pensio,{Ｂ}年金,退休金，养老金,연금,C,9.0,3.0,8.79,8.9
penti,"{Ｂ}［自・他］後悔する, 悔悟する, 改悛する",悔过，悔悟，忏悔,"후회하다; 뉘우치다, 회개하다",C,8.0,3.0,8.79,8.4
pentri,{Ｂ}［他］（色彩画を）描く; 《転》（言葉で）描写する; 思い描く,画，描绘；（转）用语言描写,그림을 그리다; (비유) 말로 묘사하다,B,6.0,2.0,5.67,5.83
per,"{Ｂ}［前］～で, ～を使って, ～によって, ～を介して",用，以；通过，经由；凭借,"…으로, …을 통해",A,1.0,1.0,2.54,1.77
perdi,"{Ｂ}［他］失う, なくす; 見失う; （勝負に）敗れる; 空費する",失去，丢失；（比赛）输；浪费,"잃다, 없애다; (승부에서) 지다; 허비하다",A,3.0,1.0,2.54,2.77
perei,"{Ｂ}［自］（災害などで）死ぬ; 滅びる, 消える, 滅亡する",丧生，死去；灭亡，消失；（船）沉没,"죽다, 목숨을 잃다; 멸망하다, 사라지다",C,9.0,3.0,8.79,8.9
perfekta,"{Ｂ}完全な, 完璧な, 申し分のない, >>senmanka, >>〜, >>〜",完美的，完善的；无可挑剔的,"완전한, 완벽한, 흠잡을 데 없는",B,8.0,2.0,5.67,6.83
perfidi,"{Ｂ}［他］裏切る, 背く; （秘密を）洩らす",背叛，叛变，出卖，不忠,"배반하다, 저버리다; 비밀을 누설하다",C,8.0,3.0,8.79,8.4
periodo,"{Ｂ}期間, 時期, 時代; 【理】周期; 【地質】紀; 【修】総合文",期间，时期，时代；（理）周期；（地质）纪,"기간, 시기, 시대; (물리) 주기; (지질) 기; (수사) 종합문",C,9.0,3.0,8.79,8.9
perlo,"{Ｂ}真珠; 《転》貴重なもの, 精華; =bido",珍珠；（转）珍品，精华,"진주; (비유) 귀중한 것, 정수",C,9.0,3.0,8.79,8.9
permesi,"{Ｂ}［他］許す, 許可する, 容認する; （状況が）許す, 可能にする",允许，准许；（情况）容许，使可能,"허락하다, 허가하다, 용인하다; (사정이) 허락하다, 가능하게 하다",A,3.0,1.0,2.54,2.77
persekuti,"{Ｂ}［他］追いまわす, 追跡する; 迫害する, 虐待する; 【法】起訴する, 訴追する",追逐，纠缠；迫害，虐待；（法）起诉，诉追,"추적하다, 뒤쫓다; 집요하게 괴롭히다, 박해하다; (법) 기소하다",C,7.0,3.0,8.79,7.9
persiko,{Ｂ}【果】モモ（桃）,桃,복숭아(열매),C,9.0,3.0,8.79,8.9
persisti,"{Ｂ}［自］根気よく続ける, 頑張る, ねばる, 固執する, >>〜, >>obstini; 持続する, 長く残る",坚持，不屈不挠；固执；持续存在,끈질기게 계속하다; 고집하다; 지속되다,C,9.0,3.0,8.79,8.9
persono,"{Ｂ}人（個人）, 人物; 【法】人（自然人・法人）; 【劇】登場人物; 【Ｇ】人称",人，个人；（法）人（自然人、法人）；（剧）人物；（语）人称,"사람, 개인; (법) 사람·법인; (연극) 등장인물; (문법) 인칭",A,3.0,1.0,2.54,2.77
pesi,"{Ｂ}［他］～の重さを計る, はかりにかける, 計量する; 《転》慎重に考慮する, 吟味する, 比較検討する",称重，过秤；（转）权衡，斟酌,무게를 달다; (비유) 신중히 따져 보다,C,7.0,3.0,8.79,7.9
peti,"{Ｂ}［他］頼む, 請う, 願う, 依頼する, 請願する; （人を）呼ぶ, 招く",请求，恳求；申请；请（某人来）,"부탁하다, 청하다, 의뢰하다; 신청하다; (사람을) 부르다, 청해 오게 하다",A,2.0,1.0,2.54,2.27
petoli,"{Ｂ}［自］跳ね回る, じゃれる, はしゃぎ回る; たわむれる, いたずらをする, ふざける, 浮かれ騒ぐ; いちゃつく",嬉闹，顽皮玩耍；打闹，胡闹；调情，亲昵嬉戏,"까불며 장난치다, 즐겁게 떠들며 놀다; 이성과 시시덕거리다",C,7.0,3.0,8.79,7.9
petrolo,{Ｂ}石油; 原油/灯油など（自動車用燃料は通常ガソリン）,石油及其制品（原油、煤油等）,석유; 원유·등유 등을 아우르는 말,C,8.0,3.0,8.79,8.4
peza,{Ｂ}重い; 重さがある; （食物が）胃にもたれる; 《転》重苦しい; 重々しい,重的；沉重的；（食物）难消化的；（转）压抑的，庄重的,"무거운; (음식이) 소화가 잘 안 되는; (비유) 무겁고 답답한; 중후한, 묵직한",A,5.0,1.0,2.54,3.77
pia,"{Ｂ}信心深い, 敬虔（けいけん）な",虔诚，虔敬,독실하고 경건한,C,9.0,3.0,8.79,8.9
piano,{Ｂ}【楽】ピアノ,钢琴,피아노,C,9.0,3.0,8.79,8.9
piedo,"{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚",脚（踝以下）；动物的足；（物体）脚部、底部；（诗）音步,발(발목 아래); 동물의 발; (사물의) 받침·밑부분; (운문) 음보,A,3.0,1.0,2.54,2.77
piki,"{Ｂ}［他］刺す, 突く, 突き刺す; （感覚・感情を）刺激する, 害する, しみる",刺，戳，叮；刺痛，刺激,"찌르다, 쏘다; (감정·감각을) 자극하다, 쓰라리게 하다",B,6.0,2.0,5.67,5.83
pilko,"{Ｂ}【遊】ボール, 球（たま）, まり; （スポイトなどの）ゴム球",球；（滴管等的）橡胶球囊,공; (스포이트 등의) 고무 벌브,B,6.0,2.0,5.67,5.83
pilo,"{Ｂ}【電】電池, パイル",电池,전지,C,8.0,3.0,8.79,8.4
pinglo,"{Ｂ}ピン, 留め針; 【植】針葉",大头针，别针；（植）针叶,"핀, 고정침; (식물) 침엽",C,6.0,3.0,8.79,7.4
pino,{Ｂ}【植】マツ（松）（属）,松树；（植）松属植物,소나무,C,7.0,3.0,8.79,7.9
pinto,"{Ｂ}（とがった）先, 先端; 頂上, 頂点",尖，尖端，顶端,"뾰족한 끝; 정상, 정점",B,6.0,2.0,5.67,5.83
pinĉi,"{Ｂ}［他］（指などで）つまむ, はさむ, つねる; （動物が草を）はむ; （芽などを）摘む; 【楽】（琴などを）つま弾く",捏，夹，掐，拧，啃，弹，拨,"손가락 등으로 집다, 꼬집다; (동물이 풀을) 뜯다; (악기 줄을) 뜯다; (새싹을) 집어내다",C,8.0,3.0,8.79,8.4
pioniro,"{Ｂ}開拓者, パイオニア; 先駆者, 草分け; 【軍】工兵; （旧ソ連の）ピオネール",拓荒者，先驱；（军）工兵；（旧苏联）少先队员,"선구자, 개척자; (군사) 공병; (구소련) 피오네르 단원",C,9.0,3.0,8.79,8.9
pipro,{Ｂ}【料】こしょう（胡椒）,胡椒粒，胡椒粉,"후추, 후춧가루",C,9.0,3.0,8.79,8.9
piro,"{Ｂ}【果】ナシ（梨）, 洋ナシ",梨,"배, 서양배",C,8.0,3.0,8.79,8.4
pizo,{Ｂ}【植】エンドウ（豌豆）（属）; 《般》えんどう豆,豌豆；（植）豌豆属植物,완두; 완두콩,C,7.0,3.0,8.79,7.9
placo,{Ｂ}広場; 空き地,广场，空地,"광장, 빈터",B,7.0,2.0,5.67,6.33
plado,"{Ｂ}大皿, 皿, >>〜; （皿に盛った）料理; 【微】ペトリ皿",盘子，大盘；一盘菜（一道菜）；（微生物）培养皿,"큰 접시, 접시; (접시에 담긴) 요리; (미생물) 페트리 접시",C,7.0,3.0,8.79,7.9
plafono,"{Ｂ}天井; 【気】雲高; 【空】上昇限度; 《転》最高限度, 上限",天花板；（气）云高；（航）升限；（转）上限，最高限度,"천장; (기상) 운고(雲高); (항공) 상승 한계; (비유) 상한, 최고 한도",B,5.0,2.0,5.67,5.33
planedo,{Ｂ}【天】惑星,行星,행성,C,9.0,3.0,8.79,8.9
planko,"{Ｂ}床（ゆか）, 床面; 橋床",地板，地面；楼面；（桥）桥面,"방의 마루, 바닥; (교량) 교면(橋面)",B,4.0,2.0,5.67,4.83
plano,"{Ｂ}計画, 設計, 立案, 構想; 設計図, 見取り図; （絵画・写真での）景, 遠近; 【映】ショット, カット",计划；设计图，平面图；（绘画/摄影）景别、远近层次；（影）镜头,"계획, 설계, 구상; 설계도, 평면도; (회화·사진) 경, 원근; (영화) 쇼트, 컷",B,7.0,2.0,5.67,6.33
planti,"{Ｂ}［他］植える, 植え付ける; （地面に差し込んで）立てる",栽种，种植；竖立，插立,식물을 심다; (땅에 박아) 세우다,B,6.0,2.0,5.67,5.83
plasto,{Ｂ}【化】プラスチック; 可塑性物質,塑料,"플라스틱, 가소성 물질",C,9.0,3.0,8.79,8.9
plata,"{Ｂ}平たい, 薄い, 厚みのない; 平らな, 平坦な, 起伏のない; 《転》平板な",扁；平，平坦；（转）平板，单调,"평평한, 납작한, 얇은; 평탄하고 기복 없는; (비유) 평면적이고 단조로운",C,6.0,3.0,8.79,7.4
plaĉi,"{Ｂ}［自］気に入る, 好かれる",使喜欢，使中意；讨人喜欢,"마음에 들다, 호감을 주다",A,5.0,1.0,2.54,3.77
plej,"{Ｂ}［副］もっとも, 一番, 最～（比較最上級）",最,"가장, 최고로",A,1.0,1.0,2.54,1.77
plekti,"{Ｂ}［他］（細長いものを）編む, 組む, 撚る; 編んで作る",编，编织，编结,"짜다, 엮다",C,8.0,3.0,8.79,8.4
plena,"{Ｂ}いっぱいの, 満ちた; 十分な, 完全な, 全部の",满的，充满的；完整的，完全的,"가득 찬, 충만한; 충분한, 완전한; 전체의",A,2.0,1.0,2.54,2.27
plendi,"{Ｂ}［自］苦痛を訴える; 不満を訴える, 文句を言う, 苦情を申し立てる; 【法】（民事上の）訴訟を起こす",诉苦，抱怨，发牢骚；（法）提起民事诉讼,"고통을 호소하다; 불평하다, 불만을 호소하다; (법) 민사소송을 제기하다",B,4.0,2.0,5.67,4.83
plezuro,"{Ｂ}喜び, 楽しみ, 快楽, 快感",快乐，愉悦；快感；乐趣,"기쁨, 즐거움, 쾌락",B,4.0,2.0,5.67,4.83
pli,"{Ｂ}［副］より, もっと",更加，更,"더, 더욱",A,1.0,1.0,2.54,1.77
plori,"{Ｂ}［自］泣く, 涙を流す",哭,"울다, 눈물을 흘리다",A,4.0,1.0,2.54,3.27
plu,"{Ｂ}［副］さらに, もっと, 引き続き",继续，更进一步,"더, 더욱; 계속해서",A,1.0,1.0,2.54,1.77
plugi,"{Ｂ}［他］耕す, すく; 《転》畝をつくる, しわを寄せる",犁地，耕地；开出沟痕,"밭을 갈다, 경작하다; (비유) 고랑을 내다, 주름지게 하다",C,6.0,3.0,8.79,7.4
plumbo,{Ｂ}【鉱】鉛; 【化】鉛（原子番号82）,铅,"납, 금속 원소",C,8.0,3.0,8.79,8.4
plumo,"{Ｂ}羽根, 羽毛, >>lanugo; 鵞ペン, 羽根ペン; ペン, ペン先",羽毛；羽毛笔；笔，笔尖,"깃털, 우모; 펜, 펜촉",B,4.0,2.0,5.67,4.83
pluraj,"{Ｂ}複数の; （１ではない）幾人かの, いくつかの, >>kelkaj",多个的；好几个的，不止一个的,"여럿인, 둘 이상인",B,6.0,2.0,5.67,5.83
plus,"{Ｂ}［接］【数】プラス（足し算・正数）; 《般》～を足して, ><〜",加，正；加号；正数,"더하기, 플러스; 양수를 나타내는 기호",C,8.0,3.0,8.79,8.4
pluvo,{Ｂ}雨; 《転》降り注ぐもの,雨；（转）如雨般落下之物,비; (비유) 빗발치듯 쏟아지는 것,A,4.0,1.0,2.54,3.27
po,{Ｂ}［前］～ずつ / {Ｏ}［文字名］ポー（文字P，pの名称）,各；（字母名）P,"…씩, 각; (문자 이름) 포(P)",B,9.0,2.0,5.67,7.33
poemo,"{Ｂ}詩（作品）, （特に）長編詩, >>poeziaĵo",诗（作品）；（尤指）长诗,시(詩) 작품,B,8.0,2.0,5.67,6.83
poeto,{Ｂ}詩人,诗人,시인,C,7.0,3.0,8.79,7.9
poezio,"{Ｂ}（ジャンルとしての）詩, 詩歌, 韻文; 詩情, 詩趣",诗，诗歌，韵文；诗情，诗趣,"시, 시가, 운문; 시정(詩情), 시취",C,8.0,3.0,8.79,8.4
polico,{Ｂ}警察,警察；警察机关，警务部门,"경찰; 경찰 조직, 경찰 기관",B,6.0,2.0,5.67,5.83
politiko,{Ｂ}政治; 政策,政治；政策,정치; 정책,B,7.0,2.0,5.67,6.33
polvo,"{Ｂ}ほこり（埃）, ちり（塵）, 微粒, 粉末; 【環】粉じん",灰尘，尘土；粉末，微粒；粉尘,"먼지, 티끌; 분말, 미세 입자",C,6.0,3.0,8.79,7.4
pomo,{Ｂ}【果】リンゴ（林檎）; 《転》リンゴ形の物,苹果；（转）苹果形的东西,사과; (비유) 사과 모양의 것,B,6.0,2.0,5.67,5.83
ponto,"{Ｂ}橋; 【海】船橋, ブリッジ; 【楽】（弦を支える）駒（こま）; 《転》懸け橋, 橋渡し",桥；【海】驾驶台；【乐】琴马；（转）桥梁，纽带,다리; (해운) 선교; (음악) 줄받침; (비유) 가교,B,6.0,2.0,5.67,5.83
popolo,"{Ｂ}人民; 国民; 民衆, 庶民",人民，国民；民众，平民,"인민, 국민; 민중, 서민",A,3.0,1.0,2.54,2.77
populara,"{Ｂ}人気のある, ポピュラーな; 大衆的な, 通俗的な, 平易な",受欢迎的，流行的；大众化的，通俗的,"인기 있는, 대중적인; 통속적이고 평이한",C,9.0,3.0,8.79,8.9
por,{Ｂ}［前］～のために（目的・用途）; ～に対して（対応・対価）; ～に賛成して,为，为了；给；对/对于；赞成,"…을 위해; …에 대하여, …의 대가로; …에 찬성하여",A,1.0,1.0,2.54,1.77
porcio,"{Ｂ}分け前, 割当て, 配給量; （料理の）一人前",一份；分配额；（餐）一人份,"몫, 할당량; (음식) 1인분",C,9.0,3.0,8.79,8.9
pordo,"{Ｂ}戸口, 入り口; 戸（と）, 扉（とびら）, ドア",门,"문, 출입문",A,3.0,1.0,2.54,2.77
porko,{Ｂ}【動】ブタ（豚）,猪,돼지,B,5.0,2.0,5.67,5.33
porti,"{Ｂ}［他］持っている（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く",携带，拿着（运着）；搬运，运送；穿戴；承担（责任）；怀有（感情）,"운반하다, 지니다; 입다, 착용하다; (책임 등을) 지다; (마음에) 품다",A,2.0,1.0,2.54,2.27
portreto,"{Ｂ}肖像, 肖像画, 肖像写真; 人物描写",肖像，画像；人物描写,"초상, 초상화",C,9.0,3.0,8.79,8.9
posedi,"{Ｂ}［他］所有する, 占有する; 持っている; 精通する",拥有，占有；掌握,"소유하다, 점유하다; 가지고 있다; 정통하다",B,6.0,2.0,5.67,5.83
post,"{Ｂ}［前］（時間的に）～の後に, ～の後で; （空間的に）～の後ろに, ～の背後で",在…后,시간적으로 …뒤에; 공간적으로 …뒤에,A,1.0,1.0,2.54,1.77
posteno,"{Ｂ}（軍隊の）持ち場, 部署; （職務上の）地位, 役職, ポスト",哨所，岗位；职位，职守,"초소, 근무 자리; 직위, 직책",C,8.0,3.0,8.79,8.4
postuli,"{Ｂ}［他］（当然のこととして）要求する, 請求する; （物事が）必要とする",要求，索求；（事情）需要,요구하다; (사태가) 필요로 하다,B,3.0,2.0,5.67,4.33
potenco,"{Ｂ}威力, 強さ; 勢力, 権力, 支配力; 《転》強国; 【数】累乗, べき",力量，势力，支配力；强国；（数）幂,"힘, 위력; 세력, 권력, 지배력; (비유) 강국; (수학) 거듭제곱",B,7.0,2.0,5.67,6.33
poto,"{Ｂ}つぼ, はち, ポット, なべ, >>ter〜",壶、罐、锅等,"항아리, 단지, 포트, 냄비",C,6.0,3.0,8.79,7.4
povi,"{Ｂ}［他］～することができる, ～する能力がある, ～する権利がある; ～してもよい; ～かも知れない",能，能够；可以（许可）；也许，可能,…할 수 있다; …해도 된다; …일지도 모른다,A,2.0,1.0,2.54,2.27
pozicio,"{Ｂ}位置, 立場, 地位; 姿勢; 【軍】陣地",位置，立场，地位；姿势；（军）阵地,"위치, 입장, 지위; 자세; (군사) 진지",C,8.0,3.0,8.79,8.4
poŝo,{Ｂ}ポケット; 《転》財布; 懐（ふところ）,口袋；（转）钱包，腰包,"호주머니, 주머니; (비유) 지갑, 주머니 사정",B,5.0,2.0,5.67,5.33
